,Time,Currency,Headline,Actual,Forecast,Previous,DayOfWeek,YYYYMMDD,identifier
16797,22:00:00,AUD,Judo Bank Australia Manufacturing PMI,47.6,47.8,47.7,Monday,20240101,AUD16797
16799,5:30:00,AUD,Commodity Prices (YoY),-0.107,,-0.128,Tuesday,20240102,AUD16799
16802,22:00:00,AUD,Judo Bank Australia Services PMI,47.1,47.6,46,Wednesday,20240103,AUD16802
16804,20:30:00,AUD,CFTC AUD speculative net positions,-42.9K,,-51.3K,Friday,20240105,AUD16804
16806,0:30:00,AUD,Building Approvals (YoY) (Nov),-0.046,,-0.055,Tuesday,20240109,AUD16806
16807,0:30:00,AUD,Building Approvals (MoM) (Nov),0.016,-0.02,0.072,Tuesday,20240109,AUD16807
16808,0:30:00,AUD,Private House Approvals (Nov),-0.017,,0.029,Tuesday,20240109,AUD16808
16809,0:30:00,AUD,Retail Sales (MoM) (Nov),0.02,0.012,-0.004,Tuesday,20240109,AUD16809
16811,0:30:00,AUD,Monthly CPI Indicator (YoY) (Nov),0.043,0.044,0.049,Wednesday,20240110,AUD16811
16813,0:30:00,AUD,Exports (MoM) (Nov),0.017,,0.008,Thursday,20240111,AUD16813
16814,0:30:00,AUD,Imports (MoM) (Nov),-0.079,,-0.029,Thursday,20240111,AUD16814
16815,0:30:00,AUD,Trade Balance (Nov),11.437B,7.500B,7.660B,Thursday,20240111,AUD16815
16817,0:30:00,AUD,Home Loans (MoM),0.005,0,0.056,Friday,20240112,AUD16817
16818,0:30:00,AUD,Invest Housing Finance (MoM),0.019,,0.083,Friday,20240112,AUD16818
16819,2:00:00,AUD,Thomson Reuters IPSOS PCSI (MoM) (Jan),50.16,,47.39,Friday,20240112,AUD16819
16821,20:30:00,AUD,CFTC AUD speculative net positions,-32.3K,,-42.9K,Friday,20240112,AUD16821
16823,0:30:00,AUD,ANZ Job Advertisements (MoM),0.001,,-0.051,Monday,20240115,AUD16823
16824,0:30:00,AUD,MI Inflation Gauge (MoM),0.01,,0.003,Monday,20240115,AUD16824
16826,23:30:00,AUD,Westpac Consumer Sentiment (Jan),-0.013,,0.027,Monday,20240115,AUD16826
16827,0:30:00,AUD,Building Approvals (YoY),-0.046,-0.046,-0.055,Tuesday,20240116,AUD16827
16828,0:30:00,AUD,Building Approvals (MoM),0.016,0.016,0.072,Tuesday,20240116,AUD16828
16829,0:30:00,AUD,Private House Approvals,-0.017,-0.017,0.029,Tuesday,20240116,AUD16829
16831,0:00:00,AUD,MI Inflation Expectations,0.045,,0.045,Thursday,20240118,AUD16831
16832,0:30:00,AUD,Employment Change (Dec),-65.1K,17.6K,72.6K,Thursday,20240118,AUD16832
16833,0:30:00,AUD,Full Employment Change (Dec),-106.6K,,57.0K,Thursday,20240118,AUD16833
16834,0:30:00,AUD,Participation Rate (Dec),0.668,0.671,0.673,Thursday,20240118,AUD16834
16835,0:30:00,AUD,Reserve Assets Total (Dec),89.4B,,91.9B,Thursday,20240118,AUD16835
16836,0:30:00,AUD,Unemployment Rate (Dec),0.039,0.039,0.039,Thursday,20240118,AUD16836
16838,20:30:00,AUD,CFTC AUD speculative net positions,-47.9K,,-32.3K,Friday,20240119,AUD16838
16840,0:30:00,AUD,NAB Business Confidence (Dec),-1,,-8,Tuesday,20240123,AUD16840
16841,0:30:00,AUD,NAB Business Survey (Dec),7,,9,Tuesday,20240123,AUD16841
16843,22:00:00,AUD,Judo Bank Australia Manufacturing PMI,50.3,,47.6,Tuesday,20240123,AUD16843
16844,22:00:00,AUD,Judo Bank Australia Services PMI,47.9,,47.1,Tuesday,20240123,AUD16844
16845,23:30:00,AUD,MI Leading Index (MoM),0,,0.001,Tuesday,20240123,AUD16845
16850,20:30:00,AUD,CFTC AUD speculative net positions,-54.1K,,-47.9K,Friday,20240126,AUD16850
16852,0:30:00,AUD,Retail Sales (MoM) (Dec),-0.027,-0.01,0.016,Tuesday,20240130,AUD16852
16854,0:30:00,AUD,CPI (YoY) (Q4),0.041,0.043,0.054,Wednesday,20240131,AUD16854
16855,0:30:00,AUD,CPI (QoQ) (Q4),0.006,0.008,0.012,Wednesday,20240131,AUD16855
16856,0:30:00,AUD,CPI Index Number (Q4),136.1,,135.3,Wednesday,20240131,AUD16856
16857,0:30:00,AUD,Housing Credit (Dec),0.004,,0.004,Wednesday,20240131,AUD16857
16858,0:30:00,AUD,Private Sector Credit (MoM) (Dec),0.004,0.004,0.004,Wednesday,20240131,AUD16858
16859,0:30:00,AUD,Trimmed Mean CPI (QoQ) (Q4),0.008,0.009,0.012,Wednesday,20240131,AUD16859
16860,0:30:00,AUD,Trimmed Mean CPI (YoY) (Q4),0.042,0.043,0.052,Wednesday,20240131,AUD16860
16861,0:30:00,AUD,Monthly CPI Indicator (YoY) (Dec),0.034,0.037,0.043,Wednesday,20240131,AUD16861
16862,0:30:00,AUD,Weighted mean CPI (QoQ) (Q4),0.009,0.01,0.013,Wednesday,20240131,AUD16862
16863,0:30:00,AUD,Weighted mean CPI (YoY) (Q4),0.044,0.045,0.052,Wednesday,20240131,AUD16863
16865,22:00:00,AUD,Judo Bank Australia Manufacturing PMI,50.1,50.3,47.6,Wednesday,20240131,AUD16865
16866,0:30:00,AUD,Building Approvals (YoY) (Dec),-0.02,,-0.012,Thursday,20240201,AUD16866
16867,0:30:00,AUD,Building Approvals (MoM) (Dec),-0.095,0.005,0.003,Thursday,20240201,AUD16867
16868,0:30:00,AUD,Export Price Index (QoQ) (Q4),0.056,,-0.031,Thursday,20240201,AUD16868
16869,0:30:00,AUD,Import Price Index (QoQ) (Q4),0.011,0.006,0.008,Thursday,20240201,AUD16869
16870,0:30:00,AUD,NAB Quarterly Business Confidence,-6,,-1,Thursday,20240201,AUD16870
16871,0:30:00,AUD,Private House Approvals (Dec),-0.005,,-0.017,Thursday,20240201,AUD16871
16873,5:30:00,AUD,Commodity Prices (YoY) (Jan),-0.104,,-0.112,Thursday,20240201,AUD16873
16874,0:30:00,AUD,Home Loans (MoM),-0.056,,0.003,Friday,20240202,AUD16874
16875,0:30:00,AUD,Invest Housing Finance (MoM),-0.013,,0.019,Friday,20240202,AUD16875
16876,0:30:00,AUD,PPI (QoQ) (Q4),0.009,0.019,0.018,Friday,20240202,AUD16876
16877,0:30:00,AUD,PPI (YoY) (Q4),0.041,,0.038,Friday,20240202,AUD16877
16879,20:30:00,AUD,CFTC AUD speculative net positions,-58.3K,,-54.1K,Friday,20240202,AUD16879
16881,22:00:00,AUD,Judo Bank Australia Services PMI,49.1,47.9,47.1,Sunday,20240204,AUD16881
16882,0:00:00,AUD,MI Inflation Gauge (MoM) (Jan),0.003,,0.01,Monday,20240205,AUD16882
16883,0:30:00,AUD,ANZ Job Advertisements (MoM) (Jan),0.017,,0.006,Monday,20240205,AUD16883
16884,0:30:00,AUD,Exports (MoM) (Dec),0.018,,0.017,Monday,20240205,AUD16884
16885,0:30:00,AUD,Imports (MoM) (Dec),0.048,,-0.084,Monday,20240205,AUD16885
16886,0:30:00,AUD,Trade Balance (Dec),10.959B,10.510B,11.764B,Monday,20240205,AUD16886
16888,0:30:00,AUD,Retail Sales (MoM) (Dec),-0.027,0.001,0.016,Tuesday,20240206,AUD16888
16889,0:30:00,AUD,Retail Sales (QoQ) (Q4),0.003,,-0.001,Tuesday,20240206,AUD16889
16890,3:30:00,AUD,RBA Interest Rate Decision (Feb),0.0435,0.0435,0.0435,Tuesday,20240206,AUD16890
16894,22:00:00,AUD,AIG Construction Index (Dec),-11.5,,-22.2,Tuesday,20240206,AUD16894
16895,22:00:00,AUD,AIG Manufacturing Index (Dec),-23.8,,-25.3,Tuesday,20240206,AUD16895
16898,0:30:00,AUD,Building Approvals (MoM),-0.095,-0.095,0.003,Thursday,20240208,AUD16898
16899,0:30:00,AUD,Private House Approvals,-0.005,-0.005,-0.043,Thursday,20240208,AUD16899
16903,20:30:00,AUD,CFTC AUD speculative net positions,-71.8K,,-58.3K,Friday,20240209,AUD16903
16906,23:30:00,AUD,Westpac Consumer Sentiment (Feb),0.062,,-0.013,Monday,20240212,AUD16906
16907,0:30:00,AUD,NAB Business Confidence (Jan),1,,0,Tuesday,20240213,AUD16907
16908,0:30:00,AUD,NAB Business Survey (Jan),6,,8,Tuesday,20240213,AUD16908
16911,0:00:00,AUD,MI Inflation Expectations,0.045,,0.045,Thursday,20240215,AUD16911
16912,0:30:00,AUD,Employment Change (Jan),0.5K,26.4K,-62.7K,Thursday,20240215,AUD16912
16913,0:30:00,AUD,Full Employment Change (Jan),11.1K,,-109.5K,Thursday,20240215,AUD16913
16914,0:30:00,AUD,Participation Rate (Jan),0.668,0.669,0.668,Thursday,20240215,AUD16914
16915,0:30:00,AUD,Reserve Assets Total (Jan),92.3B,,89.4B,Thursday,20240215,AUD16915
16916,0:30:00,AUD,Unemployment Rate (Jan),0.041,0.04,0.039,Thursday,20240215,AUD16916
16918,2:00:00,AUD,Thomson Reuters IPSOS PCSI (MoM) (Feb),49.14,,50.16,Friday,20240216,AUD16918
16920,20:30:00,AUD,CFTC AUD speculative net positions,-79.0K,,-71.8K,Friday,20240216,AUD16920
16924,23:30:00,AUD,MI Leading Index (MoM),-0.001,,0,Tuesday,20240220,AUD16924
16925,0:00:00,AUD,MI Leading Index (MoM) (Jan),-0.001,,0,Wednesday,20240221,AUD16925
16926,0:30:00,AUD,Wage Price Index (QoQ) (Q4),0.009,0.009,0.013,Wednesday,20240221,AUD16926
16927,0:30:00,AUD,Wage Price Index (YoY) (Q4),0.042,0.041,0.041,Wednesday,20240221,AUD16927
16929,22:00:00,AUD,Judo Bank Australia Manufacturing PMI,47.7,,50.1,Wednesday,20240221,AUD16929
16930,22:00:00,AUD,Judo Bank Australia Services PMI,52.8,,49.1,Wednesday,20240221,AUD16930
16932,20:30:00,AUD,CFTC AUD speculative net positions,-81.9K,,-79.0K,Friday,20240223,AUD16932
16934,0:30:00,AUD,Construction Work Done (QoQ) (Q4),0.007,0.006,0.014,Wednesday,20240228,AUD16934
16935,0:30:00,AUD,Monthly CPI Indicator (YoY) (Jan),0.034,0.036,0.034,Wednesday,20240228,AUD16935
16937,0:30:00,AUD,Building Capital Expenditure (MoM) (Q4),0.015,,0.007,Thursday,20240229,AUD16937
16938,0:30:00,AUD,Housing Credit (Jan),0.004,,0.004,Thursday,20240229,AUD16938
16939,0:30:00,AUD,Plant/Machinery Capital Expenditure (QoQ) (Q4),-0.001,,0.006,Thursday,20240229,AUD16939
16940,0:30:00,AUD,Private New Capital Expenditure (QoQ) (Q4),0.008,0.004,0.003,Thursday,20240229,AUD16940
16941,0:30:00,AUD,Private Sector Credit (MoM) (Jan),0.004,0.004,0.004,Thursday,20240229,AUD16941
16942,0:30:00,AUD,Retail Sales (MoM) (Jan),0.011,0.016,-0.021,Thursday,20240229,AUD16942
16944,22:00:00,AUD,Judo Bank Australia Manufacturing PMI,47.8,47.7,50.1,Thursday,20240229,AUD16944
16946,5:30:00,AUD,Commodity Prices (YoY) (Feb),-0.11,,-0.104,Friday,20240301,AUD16946
16947,20:30:00,AUD,CFTC AUD speculative net positions,-79.2K,,-81.9K,Friday,20240301,AUD16947
16949,0:00:00,AUD,MI Inflation Gauge (MoM),-0.001,,0.003,Monday,20240304,AUD16949
16950,0:30:00,AUD,ANZ Job Advertisements (MoM),-0.028,,0.034,Monday,20240304,AUD16950
16951,0:30:00,AUD,Building Approvals (YoY) (Jan),0.1,-0.02,-0.017,Monday,20240304,AUD16951
16952,0:30:00,AUD,Building Approvals (MoM) (Jan),-0.01,0.038,-0.101,Monday,20240304,AUD16952
16953,0:30:00,AUD,Business inventories (MoM) (Q4),-0.017,0,0.012,Monday,20240304,AUD16953
16954,0:30:00,AUD,Company Gross Operating Profits (QoQ) (Q4),0.074,0.011,-0.016,Monday,20240304,AUD16954
16955,0:30:00,AUD,Company Profits Pre-Tax (QoQ) (Q4),0.047,,0.016,Monday,20240304,AUD16955
16956,0:30:00,AUD,Private House Approvals (Jan),-0.099,,-0.018,Monday,20240304,AUD16956
16958,22:00:00,AUD,Judo Bank Australia Services PMI,53.1,52.8,49.1,Monday,20240304,AUD16958
16959,0:30:00,AUD,Current Account (Q4),11.8B,4.9B,1.3B,Tuesday,20240305,AUD16959
16960,0:30:00,AUD,Net Exports Contribution (Q4),0.006,0.002,-0.006,Tuesday,20240305,AUD16960
16962,22:00:00,AUD,AIG Construction Index (Feb),-18.4,,-11.5,Tuesday,20240305,AUD16962
16963,22:00:00,AUD,AIG Manufacturing Index (Feb),-12.6,,-23.8,Tuesday,20240305,AUD16963
16964,0:30:00,AUD,GDP (QoQ) (Q4),0.002,0.002,0.003,Wednesday,20240306,AUD16964
16965,0:30:00,AUD,GDP (YoY) (Q4),0.015,0.014,0.021,Wednesday,20240306,AUD16965
16966,0:30:00,AUD,GDP Capital Expenditure (Q4),-0.002,,0.016,Wednesday,20240306,AUD16966
16967,0:30:00,AUD,GDP Chain Price Index (Q4),0.02,,0.005,Wednesday,20240306,AUD16967
16968,0:30:00,AUD,GDP Final Consumption (Q4),0.002,,0.003,Wednesday,20240306,AUD16968
16969,0:30:00,AUD,Retail Sales (MoM),0.011,0.011,-0.021,Wednesday,20240306,AUD16969
16971,0:30:00,AUD,Exports (MoM),0.016,,0.015,Thursday,20240307,AUD16971
16972,0:30:00,AUD,Home Loans (MoM),-0.046,,-0.055,Thursday,20240307,AUD16972
16973,0:30:00,AUD,Imports (MoM),0.013,,0.04,Thursday,20240307,AUD16973
16974,0:30:00,AUD,Invest Housing Finance (MoM),-0.026,,-0.013,Thursday,20240307,AUD16974
16975,0:30:00,AUD,Trade Balance,11.027B,11.420B,10.743B,Thursday,20240307,AUD16975
16977,20:30:00,AUD,CFTC AUD speculative net positions,-84.7K,,-79.2K,Friday,20240308,AUD16977
16979,0:30:00,AUD,Building Approvals (MoM),-0.01,-0.01,-0.101,Tuesday,20240312,AUD16979
16980,0:30:00,AUD,NAB Business Confidence (Feb),0,,1,Tuesday,20240312,AUD16980
16981,0:30:00,AUD,NAB Business Survey (Feb),10,,7,Tuesday,20240312,AUD16981
16982,0:30:00,AUD,Private House Approvals,-0.099,-0.099,-0.018,Tuesday,20240312,AUD16982
16984,2:00:00,AUD,Thomson Reuters IPSOS PCSI (MoM) (Mar),50.79,,49.14,Friday,20240315,AUD16984
16986,20:30:00,AUD,CFTC AUD speculative net positions,-90.8K,,-84.7K,Friday,20240315,AUD16986
16988,3:30:00,AUD,RBA Interest Rate Decision (Mar),0.0435,0.0435,0.0435,Tuesday,20240319,AUD16988
16993,22:00:00,AUD,Judo Bank Australia Manufacturing PMI,46.8,,47.8,Wednesday,20240320,AUD16993
16994,22:00:00,AUD,Judo Bank Australia Services PMI,53.5,,53.1,Wednesday,20240320,AUD16994
16995,0:30:00,AUD,Employment Change (Feb),116.5K,39.7K,15.3K,Thursday,20240321,AUD16995
16996,0:30:00,AUD,Full Employment Change (Feb),78.2K,,19.9K,Thursday,20240321,AUD16996
16997,0:30:00,AUD,Participation Rate (Feb),0.667,0.668,0.666,Thursday,20240321,AUD16997
16998,0:30:00,AUD,Reserve Assets Total (Feb),92.6B,,92.3B,Thursday,20240321,AUD16998
16999,0:30:00,AUD,Unemployment Rate (Feb),0.037,0.04,0.041,Thursday,20240321,AUD16999
17003,19:30:00,AUD,CFTC AUD speculative net positions,-107.5K,,-90.8K,Friday,20240322,AUD17003
17005,23:30:00,AUD,Westpac Consumer Sentiment (Mar),-0.018,,0.062,Monday,20240325,AUD17005
17007,23:30:00,AUD,MI Leading Index (MoM),0.001,,-0.001,Tuesday,20240326,AUD17007
17008,0:00:00,AUD,MI Leading Index (MoM) (Feb),0.001,,-0.001,Wednesday,20240327,AUD17008
17009,0:30:00,AUD,Monthly CPI Indicator (YoY) (Feb),0.034,0.035,0.034,Wednesday,20240327,AUD17009
17011,0:00:00,AUD,MI Inflation Expectations,0.043,,0.045,Thursday,20240328,AUD17011
17012,0:30:00,AUD,Housing Credit,0.004,,0.004,Thursday,20240328,AUD17012
17013,0:30:00,AUD,Private Sector Credit (MoM),0.005,0.004,0.005,Thursday,20240328,AUD17013
17014,0:30:00,AUD,Retail Sales (MoM) (Feb),0.003,0.004,0.011,Thursday,20240328,AUD17014
17017,19:30:00,AUD,CFTC AUD speculative net positions,-105.5K,,-107.5K,Friday,20240329,AUD17017
17020,22:00:00,AUD,Judo Bank Australia Manufacturing PMI,47.3,46.8,47.8,Monday,20240401,AUD17020
17022,0:00:00,AUD,MI Inflation Gauge (MoM),0.001,,-0.001,Tuesday,20240402,AUD17022
17023,0:30:00,AUD,ANZ Job Advertisements (MoM),-0.01,,-0.021,Tuesday,20240402,AUD17023
17026,6:30:00,AUD,Commodity Prices (YoY) (Mar),-0.153,,-0.153,Tuesday,20240402,AUD17026
17027,22:00:00,AUD,AIG Construction Index (Mar),-12.9,,-18.4,Tuesday,20240402,AUD17027
17028,22:00:00,AUD,AIG Manufacturing Index (Mar),-7,,-12.6,Tuesday,20240402,AUD17028
17030,22:00:00,AUD,Judo Bank Australia Services PMI,54.4,53.5,53.1,Wednesday,20240403,AUD17030
17032,0:30:00,AUD,Building Approvals (YoY) (Feb),0.052,,0.098,Thursday,20240404,AUD17032
17033,0:30:00,AUD,Building Approvals (MoM) (Feb),-0.019,0.03,-0.025,Thursday,20240404,AUD17033
17034,0:30:00,AUD,Private House Approvals (Feb),0.107,,-0.099,Thursday,20240404,AUD17034
17036,0:30:00,AUD,Exports (MoM),-0.022,,0.015,Friday,20240405,AUD17036
17037,0:30:00,AUD,Imports (MoM),0.048,,0.014,Friday,20240405,AUD17037
17038,0:30:00,AUD,Retail Sales (MoM),0.003,0.003,0.011,Friday,20240405,AUD17038
17039,0:30:00,AUD,Trade Balance,7.280B,10.500B,10.058B,Friday,20240405,AUD17039
17041,19:30:00,AUD,CFTC AUD speculative net positions,-102.7K,,-105.5K,Friday,20240405,AUD17041
17043,1:30:00,AUD,Home Loans (MoM),0.016,0.023,-0.009,Monday,20240408,AUD17043
17044,1:30:00,AUD,Invest Housing Finance (MoM),0.012,,-0.008,Monday,20240408,AUD17044
17046,0:30:00,AUD,Westpac Consumer Sentiment (Apr),-0.024,,-0.018,Tuesday,20240409,AUD17046
17047,1:30:00,AUD,NAB Business Confidence (Mar),1,,0,Tuesday,20240409,AUD17047
17048,1:30:00,AUD,NAB Business Survey (Mar),9,,10,Tuesday,20240409,AUD17048
17050,1:00:00,AUD,MI Inflation Expectations,0.046,,0.043,Thursday,20240411,AUD17050
17051,1:30:00,AUD,Building Approvals (MoM),-0.019,-0.019,-0.025,Thursday,20240411,AUD17051
17052,1:30:00,AUD,Private House Approvals,0.107,0.107,-0.099,Thursday,20240411,AUD17052
17054,2:00:00,AUD,Thomson Reuters IPSOS PCSI (MoM) (Apr),50.11,,50.79,Friday,20240412,AUD17054
17056,19:30:00,AUD,CFTC AUD speculative net positions,-92.3K,,-102.7K,Friday,20240412,AUD17056
17058,1:00:00,AUD,MI Leading Index (MoM) (Mar),-0.001,,0.001,Wednesday,20240417,AUD17058
17060,1:30:00,AUD,Employment Change (Mar),-6.6K,7.2K,117.6K,Thursday,20240418,AUD17060
17061,1:30:00,AUD,Full Employment Change (Mar),27.9K,,79.4K,Thursday,20240418,AUD17061
17062,1:30:00,AUD,NAB Quarterly Business Confidence,-2,,-6,Thursday,20240418,AUD17062
17063,1:30:00,AUD,Participation Rate (Mar),0.666,,0.667,Thursday,20240418,AUD17063
17065,1:30:00,AUD,Reserve Assets Total (Mar),92.7B,,92.6B,Thursday,20240418,AUD17065
17066,1:30:00,AUD,Unemployment Rate (Mar),0.038,0.039,0.037,Thursday,20240418,AUD17066
17068,19:30:00,AUD,CFTC AUD speculative net positions,-101.1K,,-92.3K,Friday,20240419,AUD17068
17070,23:00:00,AUD,Judo Bank Australia Manufacturing PMI (Apr),49.9,,47.3,Monday,20240422,AUD17070
17071,23:00:00,AUD,Judo Bank Australia Services PMI (Apr),54.2,,54.4,Monday,20240422,AUD17071
17073,1:30:00,AUD,CPI (YoY) (Q1),0.036,0.034,0.041,Wednesday,20240424,AUD17073
17074,1:30:00,AUD,CPI (QoQ) (Q1),0.01,0.008,0.006,Wednesday,20240424,AUD17074
17075,1:30:00,AUD,CPI Index Number (Q1),137.4,,136.1,Wednesday,20240424,AUD17075
17076,1:30:00,AUD,Trimmed Mean CPI (YoY) (Q1),0.04,0.038,0.042,Wednesday,20240424,AUD17076
17077,1:30:00,AUD,Trimmed Mean CPI (QoQ) (Q1),0.01,0.008,0.008,Wednesday,20240424,AUD17077
17078,1:30:00,AUD,Monthly CPI Indicator (YoY) (Mar),0.035,0.034,0.034,Wednesday,20240424,AUD17078
17079,1:30:00,AUD,Weighted mean CPI (YoY) (Q1),0.044,0.041,0.044,Wednesday,20240424,AUD17079
17080,1:30:00,AUD,Weighted mean CPI (QoQ) (Q1),0.011,0.009,0.009,Wednesday,20240424,AUD17080
17083,1:30:00,AUD,Export Price Index (QoQ) (Q1),-0.021,,0.056,Friday,20240426,AUD17083
17084,1:30:00,AUD,Import Price Index (QoQ) (Q1),-0.018,0.001,0.011,Friday,20240426,AUD17084
17085,1:30:00,AUD,PPI (YoY) (Q1),0.043,,0.041,Friday,20240426,AUD17085
17086,1:30:00,AUD,PPI (QoQ) (Q1),0.009,,0.009,Friday,20240426,AUD17086
17088,19:30:00,AUD,CFTC AUD speculative net positions,-96.2K,,-101.1K,Friday,20240426,AUD17088
17090,1:30:00,AUD,Housing Credit (Mar),0.004,,0.004,Tuesday,20240430,AUD17090
17091,1:30:00,AUD,Private Sector Credit (MoM) (Mar),0.003,0.004,0.005,Tuesday,20240430,AUD17091
17092,1:30:00,AUD,Retail Sales (MoM) (Mar),-0.004,0.002,0.002,Tuesday,20240430,AUD17092
17094,23:00:00,AUD,AIG Construction Index (Apr),-25.6,,-12.9,Tuesday,20240430,AUD17094
17095,23:00:00,AUD,AIG Manufacturing Index (Apr),-13.9,,-7,Tuesday,20240430,AUD17095
17096,23:00:00,AUD,Judo Bank Australia Manufacturing PMI,49.6,49.9,47.3,Tuesday,20240430,AUD17096
17098,6:30:00,AUD,Commodity Prices (YoY),-0.116,,-0.153,Wednesday,20240501,AUD17098
17099,1:30:00,AUD,Building Approvals (YoY) (Mar),-0.025,0.052,0.049,Thursday,20240502,AUD17099
17100,1:30:00,AUD,Building Approvals (MoM) (Mar),0.019,0.035,-0.009,Thursday,20240502,AUD17100
17101,1:30:00,AUD,Exports (MoM),0.001,,-0.032,Thursday,20240502,AUD17101
17102,1:30:00,AUD,Imports (MoM),0.042,,0.045,Thursday,20240502,AUD17102
17103,1:30:00,AUD,Private House Approvals (Mar),0.038,,0.124,Thursday,20240502,AUD17103
17104,1:30:00,AUD,Trade Balance,5.024B,7.190B,6.591B,Thursday,20240502,AUD17104
17106,23:00:00,AUD,Judo Bank Australia Services PMI,53.6,54.2,54.4,Thursday,20240502,AUD17106
17107,1:30:00,AUD,Home Loans (MoM),0.028,0.01,0.015,Friday,20240503,AUD17107
17108,1:30:00,AUD,Invest Housing Finance (MoM),0.038,,0.012,Friday,20240503,AUD17108
17110,19:30:00,AUD,CFTC AUD speculative net positions,-83.2K,,-96.2K,Friday,20240503,AUD17110
17112,1:30:00,AUD,ANZ Job Advertisements (MoM),0.028,,-0.01,Monday,20240506,AUD17112
17113,1:30:00,AUD,MI Inflation Gauge (MoM),0.001,,0.001,Monday,20240506,AUD17113
17115,1:30:00,AUD,Retail Sales (MoM),-0.004,-0.002,0.002,Tuesday,20240507,AUD17115
17116,1:30:00,AUD,Retail Sales (QoQ) (Q1),-0.004,,0.004,Tuesday,20240507,AUD17116
17118,4:30:00,AUD,RBA Interest Rate Decision (May),0.0435,0.0435,0.0435,Tuesday,20240507,AUD17118
17123,1:30:00,AUD,Building Approvals (MoM),0.019,0.019,-0.009,Thursday,20240509,AUD17123
17124,1:30:00,AUD,Private House Approvals,0.038,0.038,0.124,Thursday,20240509,AUD17124
17126,2:00:00,AUD,Thomson Reuters IPSOS PCSI (MoM) (May),50.28,,50.11,Friday,20240510,AUD17126
17128,19:30:00,AUD,CFTC AUD speculative net positions,-64.5K,,-83.2K,Friday,20240510,AUD17128
